regiao;estado;municipio;coduf;codmun;codRegiaoSaude;nomeRegiaoSaude;data;semanaEpi;populacaoTCU2019;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Recuperadosnovos;emAcompanhamentoNovos;interior/metropolitana
Brasil;;;76;;;;2021-01-01;53;210147125;7700578;24605;195411;462;6756284;748883;
Brasil;;;76;;;;2021-01-02;53;210147125;7716405;15827;195725;314;6769420;751260;
Brasil;;;76;;;;2021-01-03;1;210147125;7733746;17341;196018;293;6813008;724720;
Brasil;;;76;;;;2021-01-04;1;210147125;7753752;20006;196561;543;6875230;681961;
Brasil;;;76;;;;2021-01-05;1;210147125;7810400;56648;197732;1171;6963407;649261;
Brasil;;;76;;;;2021-01-06;1;210147125;7873830;63430;198974;1242;7036530;638326;
Brasil;;;76;;;;2021-01-07;1;210147125;7961673;87843;200498;1524;7096931;664244;
Brasil;;;76;;;;2021-01-08;1;210147125;8013708;52035;201460;962;7114474;697774;
Brasil;;;76;;;;2021-01-09;1;210147125;8075998;62290;202631;1171;7144011;729356;
